id,iupac_key,iupac,cas,name,acentric_factor,formula,molecular_weight,critical_pressure,critical_pressure_unit,critical_temperature,critical_temperature_unit,antoine_a,antoine_b,antoine_c
48,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,1S/C2H6O/c1-2-3/h3H;2H2;1H3,64-17-5,ethyl-alcohol,,C2H6O,46.069,890.1,psi,465.39,farenheit,,,
49,UGFAIRIUMAVXCW-UHFFFAOYSA-N,1S/CO/c1-2,630-08-0,carbon-monixide,0.0663,CO,28.01,507.5,psi,-220.43,farenheit,,,
50,CURLTUGMZLYLDI-UHFFFAOYSA-N,1S/CO2/c2-1-3,124-38-9,carbon-dioxide,0.2276,CO2,44.01,1071,psi,87.91,farenheit,6.81228,1301.679,-3.494
51,RWSOTUBLDIXVET-UHFFFAOYSA-N,1S/H2S/h1H2,7783-06-4,hydrogen-sulfide,0.0827,H2S,34.08,1300,psi,212.45,farenheit,4.52887,958.587,-0.539
52,RAHZWNYVWXNFOC-UHFFFAOYSA-N,1S/O2S/c1-3-2,7446-09-5,sulfur-dioxide,0.2276,SO2,64.06,1143,psi,315.8,farenheit,4.37798,966.575,-42.071
53,QGZKDVFQNNGYKY-UHFFFAOYSA-N,1S/H3N/h1H3,7664-41-7,ammonia,,NH3,17.0305,1646,psi,270.2,farenheit,4.86886,113.928,-10.409
54,UFHFLCQGNIYNRP-UHFFFAOYSA-N,1S/H2/h1H,1333-74-0,hydrogen,-0.215,H2,2.0159,188.1,psi,-399.9,farenheit,3.54314,99.395,7.726
55,MYMOFIZGZYHOMD-UHFFFAOYSA-N,1S/O2/c1-2,7782-44-7,oxygen,0.0218,O2,31.9988,731.4,psi,-181.43,farenheit,3.9523,340.024,-4.144
56,IJGRMHOSHXDMSA-UHFFFAOYSA-N,1S/N2/c1-2,7727-37-9,nitrogen,0.0403,N2,28.0134,493.1,psi,-232.51,farenheit,3.7362,264.651,-6.788
57,KZBUYRJDOAKODT-UHFFFAOYSA-N,1S/Cl2/c1-2,7782-50-5,chlorine,,CL2,70.906,1157,psi,290.75,farenheit,4.28814,969.992,-12.791
58,XLYOFNOQVPJJNP-UHFFFAOYSA-N,1S/H2O/h1H2,7732-18-5,water,0.3449,H2O,18.0153,3198.8,psi,705.16,farenheit,5.40221,1838.675,-31.737
59,RSJKGSCJYJTIGS-UHFFFAOYSA-N,1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2;1-2H3,1120-21-4,n-undecane,0.5303,C11H24,146.312,1949,kpa,639,kelvin,4.10164,1572.477,-85.128
60,SNRUBQQJIBEYMU-UHFFFAOYSA-N,1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2;1-2H3,112-40-3,n-dodecane,0.5764,C12H26,170.338,1820,kpa,658,kelvin,4.10549,1625.928,-92.839
61,IIYFAKIEWZDVMP-UHFFFAOYSA-N,1S/C13H28/c1-3-5-7-9-11-13-12-10-8-6-4-2/h3-13H2;1-2H3,629-50-5,n-tridecane,0.6174,C13H28,184.365,1680,kpa,675,kelvin,4.12829,1689.093,-98.866
62,BGHCVCJVXZWKCC-UHFFFAOYSA-N,1S/C14H30/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3-14H2;1-2H3,629-59-4,n-tetradecane,0.643,C14H30,198.392,1570,kpa,693,kelvin,4.13735,1739.623,-105.616
63,YCOZIPAWZNQLMR-UHFFFAOYSA-N,1S/C15H32/c1-3-5-7-9-11-13-15-14-12-10-8-6-4-2/h3-15H2;1-2H3,629-62-9,n-pentadecane,0.6863,C15H32,212.419,1480,kpa,708,kelvin,4.14935,1789.658,-111.859
64,DCAYPVUWAIABOU-UHFFFAOYSA-N,1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2;1-2H3,544-76-3,n-hexadecane,0.7174,C16H34,226.446,1400,kpa,723,kelvin,4.17312,1845.672,-117.054
65,NDJKXXJCMXVBJW-UHFFFAOYSA-N,1S/C17H36/c1-3-5-7-9-11-13-15-17-16-14-12-10-8-6-4-2/h3-17H2;1-2H3,629-78-7,n-heptadecane,0.7697,C17H36,240.473,1340,kpa,736,kelvin,3.9273,1718.004,-138.126
66,RZJRJXONCZWCBN-UHFFFAOYSA-N,1S/C18H38/c1-3-5-7-9-11-13-15-17-18-16-14-12-10-8-6-4-2/h3-18H2;1-2H3,593-45-3,n-octadecane,0.8114,C18H38,254.5,1270,kpa,747,kelvin,4.33209,2068.963,-111.927
67,LQERIDTXQFOHKA-UHFFFAOYSA-N,1S/C19H40/c1-3-5-7-9-11-13-15-17-19-18-16-14-12-10-8-6-4-2/h3-19H2;1-2H3,629-92-5,n-nonadecane,0.8522,C19H40,268.527,1210,kpa,758,kelvin,30.42816,28197.488,452.785
68,CBFCDTFDPHXCNY-UHFFFAOYSA-N,1S/C20H42/c1-3-5-7-9-11-13-15-17-19-20-18-16-14-12-10-8-6-4-2/h3-20H2;1-2H3,112-95-8,n-eicosane,0.9069,C20H42,282.553,1160,kpa,768,kelvin,,,
69,FNAZRRHPUDJQCJ-UHFFFAOYSA-N,1S/C21H44/c1-3-5-7-9-11-13-15-17-19-21-20-18-16-14-12-10-8-6-4-2/h3-21H2;1-2H3,629-94-7,n-heneicosane,0.922,C21H44,296.58,1147,kpa,781.7,kelvin,5.92073,3571.218,-19.953
70,HOWGUJZVBDQJKV-UHFFFAOYSA-N,1S/C22H46/c1-3-5-7-9-11-13-15-17-19-21-22-20-18-16-14-12-10-8-6-4-2/h3-22H2;1-2H3,629-97-0,n-docosane,0.955,C22H46,310.61,1101,kpa,791.8,kelvin,,,
71,FIGVVZUWCLSUEI-UHFFFAOYSA-N,1S/C23H48/c1-3-5-7-9-11-13-15-17-19-21-23-22-20-18-16-14-12-10-8-6-4-2/h3-23H2;1-2H3,638-67-5,n-tricosane,0.989,C23H48,324.63,1059,kpa,801.3,kelvin,6.557006,4200.069,1.864
72,POOSGDOYLQNASK-UHFFFAOYSA-N,1S/C24H50/c1-3-5-7-9-11-13-15-17-19-21-23-24-22-20-18-16-14-12-10-8-6-4-2/h3-24H2;1-2H3,646-31-1,n-tetracosane,1.019,C24H50,338.68,1019,kpa,810.4,kelvin,5.7383,3464.273,-55.121
